fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Compass Crecimiento II - Clase C,12.6033,3.4661,2.6662,3.3436,1.842,6.011,2.8871,2.1496,3.3607,3.4559,3.8358
Compass Crecimiento II - Clase H Ley 27.743,12.28,3.3355,2.5162,3.2063,1.6926,5.9898,2.887,2.1497,3.3606,3.4558,3.8357
Compass Crecimiento II - Clase D,12.2513,2.5108,-8.3969,3.4348,-10.087,8.6906,1.5931,2.1025,4.5927,6.1836,3.3626
Compass Crecimiento II - Clase E,12.2513,2.5109,-8.3971,3.4349,-10.0871,8.6907,1.5932,2.1026,4.5927,6.1837,3.3625
Compass Crecimiento II - Clase F,12.2513,2.5107,-8.3969,3.4349,-10.0871,8.6906,1.593,2.1026,4.5927,6.1838,3.3626
Balanz Acciones - Clase A,7.3291,-12.6662,16.7629,-14.2774,-11.3717,65.2427,-0.6137,1.7418,4.7068,-17.1615,12.7865
Balanz Acciones - Clase B,7.4462,-12.5741,16.8902,-14.1839,-11.2781,65.4229,-0.5088,1.8527,4.7603,-17.1233,12.8441
Balanz Acciones - Clase C,7.4508,-12.5705,16.8952,-14.1802,-11.2745,65.4299,-0.5047,1.8571,4.7648,-17.1201,12.8489
Balanz Acciones - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.577,4.7649,-17.1202,12.8488
Balanz Acciones - Clase E,7.4508,-12.5705,16.8952,-14.1802,-11.2745,65.4299,-0.5047,1.8571,4.7648,-17.1201,12.8489
Balanz Acciones - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Acciones - Clase G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Acciones - Clase L Ley Nº 27.743,7.3293,-12.6662,16.7628,-14.2774,-11.3719,65.2428,-0.6136,1.7418,4.6456,-17.2048,12.7199
CMA Acciones - Clase A,8.0743,-11.3625,13.9815,-13.4655,-9.831,59.5669,0.4651,1.5857,5.1147,-14.934,12.0345
CMA Acciones - Clase B,8.1661,-11.2893,14.0787,-13.3917,-9.7565,59.703,0.548,1.6724,5.2044,-14.8684,12.1301
CMA Acciones - Clase C,8.2864,-11.1942,14.2052,-13.2956,-9.6597,59.8799,0.6559,1.7851,5.3211,-14.7832,12.2544
CMA Acciones - Clase I,8.4662,-11.0514,14.3949,-13.1516,-9.5145,60.1454,0.8177,1.9542,5.496,-14.6554,12.4408
CMA Acciones - Clase Ley N° 27.743,8.0741,-11.3626,13.9813,-13.4655,-9.8312,59.5668,0.4651,1.5856,5.1145,-14.9341,12.0344
Tavelli Plus,4.1877,-7.8696,13.225,-10.0106,-3.2529,,,,,,
Toronto Trust Multimercado - Clase A,7.0125,-12.7823,16.3587,-14.0731,-12.6601,67.0675,1.6109,2.2381,4.1151,-16.9291,13.191
Toronto Trust Multimercado - Clase B,7.0655,-12.7377,16.4181,-14.032,-12.614,67.1528,1.6578,2.2921,4.1683,-16.8908,13.2507
Toronto Trust Multimercado - Clase C,7.039,-12.76,16.3884,-14.0526,-12.6371,67.1102,1.6343,2.2651,4.1417,-16.9099,13.2209
Toronto Trust Multimercado - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
