fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
FBA Renta Fija Dólar Plus I - Clase J Ley N° 27.743,1.1196,0.3879,-0.929,-2.5947,-13.6285,25.9453,2.601,3.2259,2.8736,-1.0245,-0.7809
Fima Renta Fija Dólares - Clase A,0.6127,0.6343,-0.1812,0.6362,1.3895,0.0982,0.9451,0.5251,1.2675,0.3087,0.8236
Fima Renta Fija Dólares - Clase B,0.6253,0.6472,-0.1683,0.6486,1.4031,0.1112,0.9569,0.5383,1.2806,0.3204,0.8367
Fima Renta Fija Dólares - Clase C,0.638,0.6603,-0.1555,0.6606,1.4165,0.124,0.9685,0.5519,1.2939,0.3321,0.8505
Fima Renta Fija Dólares - Clase L Ley N° 27.743,0.6126,0.6342,-0.1813,0.6362,1.3895,0.0981,0.945,0.525,0.1648,0.0,0.0
Gainvest Renta Fija Dolares - Clase A,0.3183,0.3582,0.429,0.2623,0.3493,0.3281,0.2655,0.3487,0.3407,0.4902,0.4227
Gainvest Renta Fija Dolares - Clase B,0.3192,0.3565,0.5012,0.414,0.506,0.5034,0.3896,0.462,0.4783,0.5859,0.5278
Gainvest Renta Fija Dolares - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gainvest Renta Fija Dolares - Clase G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gainvest Renta Fija Dolares - Clase Ley N° 27.743,0.3302,0.3704,0.4414,0.274,0.3621,0.3404,0.2767,0.3617,0.0364,0.0,0.0
Gainvest Renta Fija Dolares RP D.596 - Clase A,0.0085,-0.0031,1.2159,-0.4681,0.348,93.0063,,,,,
HF Renta Fija Estrategica - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
HF Renta Fija Estrategica - Clase G,1.0847,0.4969,-0.6491,-1.2093,-6.6637,9.9187,,,,,
HF Renta Fija Estrategica - Clase I,1.0902,0.5025,-0.6434,-1.2043,-6.6584,9.9248,,,,,
Intervalores Dólar Total Return - Clase A,-0.3034,0.5013,-0.316,0.8252,0.008,2.9467,1.3257,-0.1919,0.5357,1.525,-0.4423
Intervalores Dólar Total Return - Clase B,-0.2833,0.5225,-0.2949,0.8451,0.0298,2.9684,1.345,-0.1698,0.5569,1.5446,-0.4205
Intervalores Dólar Total Return - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intervalores Dólar Total Return - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intervalores Dólar Total Return - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intervalores Dólar Total Return - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intervalores Dólar Total Return - Clase G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intervalores Dólar Total Return - Clase H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Renta Fija Cobertura - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Renta Fija Cobertura - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Ahorro Dólares - Clase A,0.0,0.275,0.7764,-0.3415,-5.5033,5.255,0.4903,0.3095,0.8411,0.3594,0.5384
Novus Ahorro Dólares - Clase B,0.0,0.2761,0.7834,-0.3337,-5.4952,5.264,0.498,0.3182,0.8496,0.3674,0.5476
Novus Ahorro Dólares - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Capital - Clase A,2.7734,0.2575,-0.0512,-2.919,-8.7022,15.1448,1.0459,1.2735,1.771,-0.7508,1.6165
Novus Capital - Clase B,2.7732,0.2575,-0.0512,-2.9191,-8.7025,15.1449,1.0457,1.2734,1.7709,-0.7508,1.6165
Novus Capital - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Capital - Clase D Ley N° 27.743,2.7733,0.2574,-0.051,-2.919,-8.7024,15.1447,1.0458,1.2734,1.7708,-0.7507,1.6165
Novus Renta Dólar - Clase A,-0.3092,0.2221,-0.6337,-2.6674,-10.2489,20.9988,1.928,3.5408,1.7403,-0.4159,-0.7891
Novus Renta Dólar - Clase B,-0.309,0.222,-0.6338,-2.6674,-10.2491,20.999,1.9281,3.5406,2.2954,-0.4159,-0.7895
Novus Renta Dólar - Clase C,-0.306,0.2239,-0.631,-2.6653,-10.2481,4.2633,0.0,0.0,0.0,0.0,0.0
Novus Renta Dólar - Clase D Ley N° 27.743,-0.3092,0.222,-0.634,-2.6675,-10.2492,20.9991,1.9283,3.541,2.2954,-0.4164,-0.7894
Numancia Dólares - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numancia Dólares - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numancia Dólares - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pellegrini Renta Dólares - Clase A,1.2803,-0.0724,-2.0437,-2.6742,-9.7321,14.6288,2.4517,3.7621,4.1348,-2.1928,-2.2786
Pellegrini Renta Dólares - Clase B,1.2926,-0.0596,-2.0313,-2.6628,-9.7201,14.6433,2.4636,3.7759,4.1478,-2.1806,-2.2661
Pellegrini Renta Dólares - Clase C,1.3007,-0.0509,-2.0232,-2.6552,-9.7122,14.6527,2.4717,3.7848,4.1566,-2.1725,-2.2576
Pellegrini Renta Dólares - Clase R Ley N° 27.743,1.2802,-0.0725,-2.0434,-2.6742,-9.7322,14.6288,2.4516,3.7625,4.1347,-2.1928,-2.2785
Pionero Renta Dólar Estrategia - Clase A,0.7997,0.0128,0.2925,-0.2487,1.6319,0.297,0.7872,0.1011,0.6967,0.471,0.026
Pionero Renta Dólar Estrategia - Clase B,0.8329,0.047,0.3269,-0.2171,1.6676,0.3311,0.8184,0.1362,0.731,0.5019,0.0612
Pionero Renta Dólar Estrategia - Clase C Ley Nº 27.743,0.866,0.0809,0.3608,-0.1853,1.7032,0.3652,0.849,0.1715,0.7653,0.5327,0.0962
Pionero Renta Global - Clase C,0.4626,0.9265,-2.5391,0.5894,3.3628,-0.2627,0.4823,-0.0943,0.987,2.0407,
Pionero Renta Global - Clase D,-1.9521,0.1047,-11.6693,2.115,-3.1281,-5.2956,-0.5342,-0.5939,0.8117,2.7467,
Zofingen Total Return Dólar - Clase A,0.6517,0.6943,0.6888,0.5418,0.5762,0.5464,0.5264,0.4425,0.3982,,
Zofingen Total Return Dólar - Clase B,0.6523,0.6941,0.6882,0.5428,0.5762,0.547,0.5265,0.4427,0.3979,,
Zofingen Total Return Dólar - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Zofingen Total Return Dólar - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Consultatio Multimercado III - Clase A,0.097,1.0618,1.1416,0.4095,1.2779,0.8866,2.0538,1.2148,1.1835,0.8369,0.2788
Consultatio Multimercado III - Clase B,0.1382,1.1047,1.1847,0.4305,1.2869,0.8955,2.0617,1.2238,1.1921,0.8446,0.2877
Consultatio Multimercado III - Clase C,0.2711,1.2434,1.2206,0.4398,1.3046,0.9125,2.0775,1.2416,1.2267,0.8834,0.3318
Consultatio Multimercado IV - Clase A,0.1167,1.9,0.8423,0.2579,-0.4152,4.2361,1.6765,1.4915,1.691,1.3634,-0.7533
Consultatio Multimercado IV - Clase B,-0.049,1.7258,0.6699,0.0979,-0.5909,4.0577,1.5194,1.3122,1.5172,1.2067,-0.9285
Consultatio Multimercado IV - Clase C,0.1167,1.9,0.8423,0.2579,-0.4152,4.2361,1.6765,1.4915,1.691,1.3634,-0.7533
Consultatio Multimercado V - Clase A,1.2876,0.4561,-1.0402,-3.2143,-13.4201,29.9485,2.0583,3.3531,3.3183,-0.7194,-0.502
Consultatio Multimercado V - Clase B,1.3043,0.4732,-1.0233,-3.1987,-13.4047,29.9702,2.0738,4.1111,2.6231,-0.7039,-0.4846
Consultatio Multimercado V - Clase C,1.4141,0.5856,-0.9128,-3.0978,-13.3051,30.1161,2.1769,4.0349,2.9447,-0.6038,-0.3696
Argenfunds Ahorro Pesos - Clase A,2.2723,2.2533,1.6998,0.9163,4.6124,3.6736,2.6716,2.0466,2.4071,3.0757,3.0699
Argenfunds Ahorro Pesos - Clase B,2.365,2.349,1.7952,1.0047,4.7138,3.7709,2.7584,2.1454,2.5032,3.1626,3.1697
Zofingen Dollar Linked - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zofingen Dollar Linked - Clase B,1.0436,-2.2496,0.4111,2.6188,3.6751,1.3988,-0.8648,-5.598,-0.2172,-0.2704,-0.2567
Zofingen Dollar Linked - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Ahorro Pesos - Clase C,-1.2504,0.0288,-12.1979,0.0655,-9.2338,1.2987,0.0712,-0.3559,1.4643,2.7807,-0.1712
Argenfunds Ahorro Pesos - Clase D,-1.2492,0.0649,-12.2204,0.0739,-9.262,1.342,0.0401,-0.3209,1.4487,2.7767,-0.1544
Argenfunds Ahorro Pesos - Clase E,-1.1792,0.0,-12.1718,0.0,-9.2391,1.3473,0.0,-0.2954,1.4815,2.7737,-0.142
Argenfunds Ahorro Pesos - Clase F,-1.1792,0.0,-12.1718,0.0,-9.2391,1.3473,0.0,-0.2954,1.4815,2.7737,-0.142
Delta Renta - Clase A,4.3299,-1.5972,-0.2124,-1.6566,-6.4199,17.0105,1.468,1.1254,1.8163,2.927,5.6303
Delta Renta - Clase B,4.3728,-1.5554,-0.17,-1.6175,-6.3789,17.0602,1.5069,1.1698,1.8595,2.9665,5.6766
Delta Renta - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Renta - Clase K Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Renta - Clase L Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Renta - Clase F,4.0038,-2.5056,-10.9657,-1.5698,-17.3814,19.9675,0.192,0.9447,1.1919,2.6368,-0.4556
Delta Renta - Clase G,-0.3131,-0.923,-10.7759,0.0886,-11.7135,2.5279,-1.2582,-0.0455,1.1919,2.6365,-0.4556
Fundcorp Long Performance Plus - Clase A,0.1238,0.1514,0.1672,0.185,0.178,0.2117,0.1993,0.3238,0.336,0.2521,0.2503
Fundcorp Long Performance Plus - Clase B,0.1324,0.1596,0.1758,0.1935,0.1865,0.2201,0.2073,0.3325,0.3442,0.2597,0.259
Fundcorp Long Performance Plus - Clase C,0.1317,0.1601,0.1758,0.1934,0.1863,0.2201,0.2075,0.3322,0.3437,0.2602,0.2586
Fundcorp Long Performance Plus - Clase D Ley N° 27.743,0.1321,0.16,0.1758,0.1937,0.1864,0.2201,0.2074,0.3323,0.3441,0.26,0.2583
Allaria Renta Fija - Clase A,5.601,-0.8325,-1.7333,-0.9595,-7.0693,22.3598,2.8368,3.5198,2.8222,4.4604,5.8056
Allaria Renta Fija - Clase B,5.6227,-0.8114,-1.7124,-0.9398,-7.0489,22.3858,2.8565,3.5425,2.844,4.4804,5.8288
Allaria Renta Fija - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Balanceada - Clase A,-1.5607,0.3623,0.8011,-0.6058,-0.6431,12.1243,2.8983,3.4735,2.1944,4.4423,6.6793
Argenfunds Renta Balanceada - Clase B,-1.5607,0.3623,0.8011,-0.6058,-0.6432,12.1243,2.8983,3.4735,2.1944,4.4423,6.6794
Argenfunds Renta Crecimiento - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Crecimiento - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Dinamica - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Dinamica - Clase B,2.3365,0.562,0.3312,-2.5505,-0.7365,11.3018,1.2555,3.2098,1.8341,3.1039,4.3148
Argenfunds Renta Global - Clase A,0.4982,0.9092,-0.6199,0.2622,0.4957,-2.0258,-4.3857,-5.5863,-5.3315,-4.1974,-1.0468
Argenfunds Renta Global - Clase B,0.4982,0.9091,-0.62,0.2622,0.4957,-2.0258,-4.4374,-5.5864,-5.3315,-4.1973,-1.0467
Argenfunds Renta Mixta - Clase A,2.4274,2.1296,1.9472,1.7852,3.8273,4.5435,2.8354,1.9911,2.5973,3.3198,3.4286
Argenfunds Renta Mixta - Clase B,2.4273,2.1296,1.9473,1.7853,3.8273,4.5433,2.8353,1.9911,2.5972,3.3198,3.4286
Argenfunds Renta Total - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Total - Clase B,1.843,1.6133,2.1088,2.4667,5.6479,0.6467,1.6137,2.0599,1.36,1.4199,1.6781
Arpenta Ahorro Pesos,3.2198,0.861,1.6817,3.1269,-0.5153,11.283,2.8853,2.6574,2.9617,3.9738,4.8128
Balanz Capital Estrategia I USD - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Performance IV - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
Balanz Performance IV - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
Balanz Performance IV - Clase C,2.3584,-1.3879,1.7606,0.9941,3.4226,1.2581,1.4933,,2.5937,2.5998,
Balanz Performance IV - Clase D,0.1315,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
Balanz Performance V - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Performance V - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Performance V - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Performance V - Clase D,9.2693,1.449,9.65,-2.5149,7.1155,2.6252,2.5478,0.7312,-0.1104,-2.1736,-1.1481
Balanz Performance XI - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Balanz Performance XI - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Balanz Performance XI - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Balanz Performance XI - Clase D,3.1963,0.0177,8.7839,-2.8996,7.1972,4.267,1.4342,0.8777,0.5679,1.8353,
BAVSA Peso Plus - Clase C,3.0818,1.3929,2.1619,2.5152,3.117,5.8184,2.8298,2.189,1.3979,3.6022,5.122
BAVSA Pesos Plus - Clase B,3.0164,1.3305,2.1177,2.4744,3.0772,5.7808,2.7966,2.1789,3.1452,3.5625,5.0759
BAVSA Pesos Plus - Clase F Ley Nº 27.743,3.0162,1.3304,2.1072,2.4744,3.0772,5.7808,2.7965,2.1789,0.0286,0.0,0.0
Chaco Renta Fija I - Clase A,3.7169,1.1184,2.606,1.2239,1.5789,8.5081,2.4659,1.8289,2.1264,3.2292,4.2931
Chaco Renta Fija I - Clase B,3.7169,1.1184,2.606,1.2239,1.5789,8.5081,2.4659,1.8289,2.1264,3.2292,4.2931
Delta Gestion VI - Clase A,4.9541,-3.7622,2.1624,-4.2235,-8.4441,26.0843,1.8466,1.5805,2.0979,-0.1248,6.0918
Delta Gestion VI - Clase B,4.9541,-3.7622,2.1624,-4.2236,-8.4441,26.0843,1.8466,1.5805,2.0979,-0.1248,6.0918
Delta Gestion VI - Clase E,4.9541,-3.7622,2.1624,-4.2236,-8.4441,26.0843,1.8466,1.5805,2.0979,-0.1248,6.0918
Delta Gestion VI - Clase K Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta Gestion VI - Clase L Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBA Horizonte Plus - Clase A,0.7657,0.7953,0.9638,0.6727,0.967,0.8274,0.6933,0.7989,0.7419,0.6363,0.7927
FBA Horizonte Plus - Clase B,0.7905,0.8197,0.9904,0.6975,0.9948,0.8544,0.7161,0.8251,0.7691,0.6605,0.8205
Galileo Premium - Clase A,-1.3583,2.0464,13.0648,-0.8015,4.396,3.7329,2.872,1.562,0.2889,-2.0435,-0.2871
Galileo Premium - Clase B,-1.3373,2.0674,13.0807,-0.7807,4.4142,3.7527,2.8931,1.5788,0.3093,-2.0247,-0.2659
IAM Estrategia - Clase E,1.2742,0.9194,12.5914,-0.3045,11.9053,-1.5616,0.138,0.6845,-1.5301,-2.4494,0.7629
Pionero Capital - Clase A,6.3115,-1.8171,-0.1407,1.4923,-7.3511,24.581,3.4568,1.2133,2.655,4.1687,3.3178
Pionero Capital - Clase B,6.3587,-1.7705,-0.0948,1.5359,-7.3057,24.638,3.5011,1.2612,2.7022,4.2165,3.3668
Pionero Capital - Clase C Ley N° 27.743,6.3351,-1.7938,-0.1175,1.5141,-7.3285,24.6092,3.4789,1.2372,2.6786,4.1926,3.3422
Pionero Renta Ahorro Plus - Clase A,3.5104,1.2026,9.5094,-0.9035,8.2998,4.7721,0.9569,0.5005,0.6991,-1.7471,-0.4403
Pionero Renta Ahorro Plus - Clase B,3.5313,1.2244,9.5323,-0.8841,8.324,4.794,0.9766,0.5222,0.7201,-1.7265,-0.4188
Pionero Renta Ahorro Plus - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3544
ST Gestión IX - Clase A,0.2252,0.3766,3.7354,-0.0653,0.332,0.172,-3.6945,-3.6625,-3.3487,0.8016,0.8938
ST Gestión IX - Clase B,0.2252,0.3766,3.7353,-0.0653,0.3321,0.172,-3.6945,-3.6626,-3.3487,0.8016,0.8938
ST Gestión IX - Clase C,0.1663,0.3157,3.5212,-0.273,0.102,-0.0505,-3.8877,-3.8834,-3.5633,0.5994,0.6625
ST Global - Clase A,3.9467,0.4104,3.4594,-1.1507,-3.8216,13.7987,-2.9055,3.3911,2.4348,2.6051,6.326
ST Global - Clase B,3.9464,0.4104,3.4594,-1.1506,-3.8214,13.7985,-2.9056,3.3909,2.435,2.605,6.326
ST Global - Clase C,3.9465,0.4103,3.4593,-1.1507,-3.8216,13.7986,-2.9055,3.3909,2.435,2.6051,6.326
ST Global - Clase D,3.8256,0.2897,3.3349,-1.2619,-3.9408,13.6618,-3.0109,3.2627,2.3118,2.4937,6.194
Alpha Renta Capital Dólar - Clase A,0.9504,0.2074,-2.3589,-2.7686,-10.4416,22.0632,3.5559,2.4141,3.6049,-1.3463,-1.8706
Alpha Renta Capital Dólar - Clase B,0.8261,0.0799,-2.4832,-2.8844,-10.5594,21.9076,3.4368,2.2794,3.4771,-1.4314,-1.9673
Alpha Renta Capital Dólar - Clase C,0.8509,0.1054,-2.4583,-2.8612,-10.5358,21.9389,3.4604,2.3064,3.4993,-1.4372,-1.9738
Alpha Renta Capital Dólar - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Renta Capital Dólar - Clase H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5585,-1.4598,-1.9997
Alpha Renta Capital Dólar - Clase I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Renta Capital Dólar - Clase Q Ley N° 27.743,0.826,0.0798,-2.4834,-2.8843,-10.5593,21.9077,3.4366,2.2794,3.4728,-1.4599,-1.9995
Argenfunds Renta Balanceada - Clase C,-1.2367,0.0,-12.1646,0.0,-9.165,1.2332,0.1107,-0.3319,1.4428,2.7352,-0.1065
Argenfunds Renta Balanceada - Clase D,-1.2367,0.0,-12.1646,0.0,-9.165,1.2332,0.1107,-0.3319,1.4428,2.7352,-0.1065
Argenfunds Renta Crecimiento - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Crecimiento - Clase B,-3.7293,1.3814,54.6346,-0.4532,26.27,-3.2283,1.2223,-0.4304,0.9995,0.5592,0.9925
Argenfunds Renta Crecimiento - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Crecimiento - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argenfunds Renta Dinamica - Clase C,-1.2433,0.0899,-12.2192,0.1024,-9.3047,1.3529,0.0,-0.3337,1.4509,2.8603,-0.2139
Argenfunds Renta Dinamica - Clase D,-1.2433,0.0899,-12.2192,0.1024,-9.3047,1.3529,0.0,-0.3337,1.4509,2.8603,-0.2139
Argenfunds Renta Global - Clase C,-1.2966,0.0821,-12.2231,0.0935,-9.2437,1.3374,0.0,-0.3046,1.4257,2.8112,-0.1953
Argenfunds Renta Global - Clase D,-1.2909,0.0872,-12.2822,0.0993,-9.2262,1.3115,0.1079,-0.431,1.5152,2.7719,-0.1037
Argenfunds Renta Mixta - Clase C,-1.9675,-0.9599,-12.2467,2.3092,-2.7478,-4.44,-0.4224,-0.3181,0.5319,3.5979,1.1236
Argenfunds Renta Mixta - Clase D,-2.0134,-0.9295,-12.2963,2.3649,-2.7503,-4.4683,-0.4737,-0.238,0.5367,3.618,1.0876
Argenfunds Renta Total - Clase C,-1.2669,0.0855,-12.2222,0.0974,-9.2412,1.2862,0.1058,-0.4228,1.4862,2.8243,-0.2035
Argenfunds Renta Total - Clase D,-1.2669,0.0855,-12.2222,0.0974,-9.2412,1.2862,0.1058,-0.4228,1.4862,2.8243,-0.2035
Argenfunds Renta Total - Clase E,-1.1792,0.0,-12.1718,0.0,-9.2391,1.3473,0.0,-0.2954,1.4815,2.7737,-0.142
Argenfunds Renta Total - Clase F,-1.2724,0.0586,-12.2365,0.0667,-9.2,1.2482,0.0725,-0.2899,1.4535,2.7221,-0.1395
Balanz Capital Estrategia I USD - Clase A,0.3529,0.325,0.2684,0.4412,1.3581,-0.2039,0.8323,0.7244,0.6153,0.2946,0.9494
Balanz Capital Estrategia I USD - Clase B,0.3529,0.325,0.2683,0.441,1.3581,-0.204,0.8323,0.7245,0.6153,0.2948,0.9494
Balanz Capital Estrategia I USD - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia I USD - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia I USD - Clase L Ley Nº 27.743,0.3529,0.3249,0.2685,0.4411,1.3583,-0.2039,0.8322,0.7244,0.6152,0.2946,0.9492
Balanz Capital Estrategia II USD - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia II USD - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia II USD - Clase C,0.7673,0.2618,-0.0336,-0.3368,1.5921,0.2859,1.2619,1.4897,1.6421,0.937,0.5297
Balanz Capital Estrategia II USD - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia II USD - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia II USD - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia II USD - Clase L Ley Nº 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia III USD - Clase A,0.0344,0.3741,0.6113,0.5277,2.3441,-1.2551,1.5036,0.8292,0.6031,0.2149,-0.3381
Balanz Capital Estrategia III USD - Clase B,0.118,0.4518,0.6844,0.6603,2.4503,-1.1488,1.5596,0.8569,0.635,0.2376,-0.3129
Balanz Capital Estrategia III USD - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia III USD - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia III USD - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia III USD - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia III USD - Clase L Ley N° 27.743,0.0344,0.3744,0.6114,0.5277,2.3439,-1.2554,1.5037,0.829,0.6029,0.2145,-0.3548
Balanz Capital Estrategia IV USD - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia IV USD - Clase B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia IV USD - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia IV USD - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia IV USD - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Estrategia IV USD - Clase F,0.0549,0.4724,0.267,0.4093,0.1222,0.4631,0.4331,0.3935,0.3137,0.3202,-0.0207
Balanz Capital Renta Fija en Dólares - Clase A,1.5888,0.376,-1.0617,-2.8034,-11.2171,26.1063,3.7946,2.691,4.7796,-1.6709,-2.706
Balanz Capital Renta Fija en Dólares - Clase B,1.6206,0.4065,-1.0301,-2.7728,-11.1902,26.1462,3.8264,2.7233,4.8124,-1.6429,-2.6753
Balanz Capital Renta Fija en Dólares - Clase C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Renta Fija en Dólares - Clase D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Renta Fija en Dólares - Clase E,1.5887,0.3758,-1.0614,-2.8036,-11.2171,26.1066,3.7946,2.6909,4.7795,-1.6708,-2.7062
Balanz Capital Renta Fija en Dólares - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Renta Fija en Dólares - Clase G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Capital Renta Fija en Dólares - Clase L Ley Nº 27.743,1.5889,0.3759,-1.0613,-2.8034,-11.2173,26.1065,3.7945,2.691,4.7796,-1.6708,-2.706
Balanz Performance IV - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
Balanz Performance V - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Performance XI - Clase E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Balanz Performance XI - Clase F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
